ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
Dll1	2.21737	2.16007	2.20873	2.22014	2.2412	2.27282	2.21779	2.33502	2.2831	2.199	2.28232	2.22809	2.25286	2.19255	2.22532	2.17621	2.21538	2.34934	0
Fam120b	2.95283	2.98815	3.01203	2.98844	2.96003	2.95932	2.99546	3.00538	3.03728	3.02656	3.06633	3.06321	3.03143	3.05	3.04191	2.99124	2.96081	2.96199	0
Tbp	2.94324	2.97548	2.96429	2.95248	2.96407	2.95904	2.98656	2.99363	2.95296	2.92043	2.93907	2.96046	2.88561	2.93438	2.9209	2.92381	2.90153	2.93101	0
4933401D09Rik	2.50458	2.32821	2.43969	2.4314	2.40042	2.38265	2.43656	2.49275	2.44203	2.45563	2.43639	2.45024	2.41198	2.42489	2.50489	2.55643	2.47808	2.40816	0
Chd1	3.03542	3.12437	3.06284	3.08456	3.06394	3.05416	3.06066	3.1121	3.02494	3.04515	3.02595	3.05823	3.00674	3.0538	3.03809	3.05871	3.06096	3.00262	0
BC002059	2.51291	2.56059	2.41698	2.42518	2.54371	2.381	2.49193	2.42766	2.51835	2.56641	2.5555	2.50958	2.49486	2.55914	2.51255	2.41034	2.54283	2.57632	0
Zfp960	3.00286	2.97825	2.99779	2.88984	3.03239	2.99894	2.98056	3.06875	2.89898	3.03006	2.92292	2.99114	2.97884	2.95762	2.98513	3.00528	3.02357	2.94962	0
Zfp97	2.29055	2.16258	2.04024	2.01082	2.09771	2.02646	2.15242	2.22278	1.96641	2.24236	2.34107	2.16975	2.17055	2.32162	1.99692	2.15814	2.15345	2.23892	0
Gm6712	3.0005	2.9311	2.98437	2.95563	2.93799	3.09011	2.99228	2.97218	3.02643	2.9486	3.05043	2.99148	2.9113	3.02555	2.85922	2.84937	2.94869	2.82895	0
Riok2	3.05244	3.05687	3.03604	3.04088	3.05169	3.03166	3.00285	3.04556	3.04869	3.00539	3.01766	3.08148	3.00745	3.0589	3.01619	2.93206	3.03548	3.001	0
Lix1	1.94418	2.06427	2.13233	2.11749	1.98053	2.1401	2.08886	2.02823	2.06307	2.14283	1.95541	2.11376	1.99166	2.04671	2.1503	2.08748	2.01594	2.1426	0
Vmn2r90	1.70064	1.36315	1.57951	1.6008	1.73118	1.75023	1.44519	1.59473	1.59781	1.66803	1.77337	1.61012	1.43852	1.55816	1.64926	1.48595	1.44205	1.55056	0
Mir99b	2.86937	2.70533	2.78192	2.80891	2.75222	2.81325	2.83805	2.86298	2.75634	2.77902	2.81472	2.84842	2.77575	2.77381	2.87083	2.81852	2.88352	2.81137	0
